variant,n_subject_rows,accuracy_mean,accuracy_ci_low,accuracy_ci_high,macro_f1_mean,macro_f1_ci_low,macro_f1_ci_high,active_macro_f1_mean,active_macro_f1_ci_low,active_macro_f1_ci_high,nll_mean,nll_ci_low,nll_ci_high
full_assist,45,0.683126984126984,0.6453552292060222,0.7208987390479459,0.600548900777528,0.5625896660587999,0.6385081354962561,0.5735163538113163,0.5392267700506421,0.6078059375719904,0.8615257070129485,0.7543246850444129,0.9687267289814842
user_emg_only,45,0.4820264550264551,0.45762070535073174,0.5064322047021784,0.0770144984636963,0.07105094258332917,0.08297805434406344,0.019141194848606963,0.013638099379617585,0.02464429031759634,1.783737478400554,1.723784725543265,1.843690231257843
assist_prefix_only,45,0.48270899470899464,0.45782041388879124,0.507597575529198,0.08180436395873615,0.07459376805433245,0.08901495986313986,0.02392618510047492,0.01703951706026512,0.03081285314068472,1.7728020723794284,1.711196484007029,1.8344076607518278
assist_tail_only,45,0.6536296296296296,0.6272012690491293,0.6800579902101298,0.534014936281952,0.4953829283765694,0.5726469441873345,0.505694560384878,0.468300607776341,0.543088512993415,0.8745214861386599,0.8033993081815358,0.9456436640957839
metadata_object_context,45,0.5002169312169312,0.499959260663745,0.5004746017701175,0.06519131835834699,0.06252462215268577,0.06785801456400821,0.004718944426787321,0.0019459973892377485,0.007491891464336893,0.9752838557469659,0.9747224397410846,0.9758452717528471
full_assist_shuffled_tail,45,0.4826031746031746,0.45765133262793456,0.5075550165784146,0.08272750052301114,0.07513896248431282,0.09031603856170947,0.02483260098028863,0.017662646445890273,0.03200255551468699,1.777475761929834,1.715990816448831,1.8389607074108372
assist_tail_shuffled_only,45,0.5,0.5,0.5,0.060606060606060594,0.060606060606060594,0.060606060606060594,0.0,0.0,0.0,1.8499585207028635,1.8472216213039834,1.8526954201017436
