variant,fold_id,subject_id,method,n_windows,accuracy,macro_f1,active_macro_f1,nll,override_free_pred_rate
full_assist,0,S010,standardized_logreg_smoothed,4200,0.7230952380952381,0.6358943534187889,0.6011512289788282,0.714949137739869,0.27690476190476193
full_assist,0,S011,standardized_logreg_smoothed,4200,0.6657142857142857,0.6152347276122456,0.6385298429309031,0.84276842113171,0.3342857142857143
full_assist,0,S014,standardized_logreg_smoothed,4200,0.7228571428571429,0.6063893231371235,0.5473838301108329,0.7611494467611519,0.27714285714285714
full_assist,0,S017,standardized_logreg_smoothed,4200,0.7414285714285714,0.6830586377218002,0.6561494485861356,0.7364778553906944,0.25857142857142856
full_assist,0,S018,standardized_logreg_smoothed,4200,0.7642857142857142,0.688597820545679,0.6263483050864004,0.6900746858408983,0.2357142857142857
full_assist,0,S101,standardized_logreg_smoothed,4200,0.7664285714285715,0.6955453175480794,0.6407002637239825,0.6925395745781199,0.23357142857142857
full_assist,0,S102,standardized_logreg_smoothed,4200,0.7202380952380952,0.6166683317313065,0.562726866408294,0.7680482488258725,0.27976190476190477
full_assist,0,S104,standardized_logreg_smoothed,4200,0.7480952380952381,0.6569981697835606,0.6024269648961332,0.689408416902006,0.2519047619047619
full_assist,0,S106,standardized_logreg_smoothed,4200,0.7228571428571429,0.6171578457357,0.5809620950942097,0.7528493672205251,0.27714285714285714
user_emg_only,0,S010,standardized_logreg_smoothed,4200,0.503095238095238,0.08249459389571077,0.021915490137864882,1.712247807740296,0.4969047619047619
user_emg_only,0,S011,standardized_logreg_smoothed,4200,0.5161904761904762,0.12562797337776843,0.06573672778983038,1.7690054207022334,0.4838095238095238
user_emg_only,0,S014,standardized_logreg_smoothed,4200,0.5016666666666667,0.0683226336295576,0.007578033228433676,1.7161489434863948,0.49833333333333335
user_emg_only,0,S017,standardized_logreg_smoothed,4200,0.49666666666666665,0.06432152876112446,0.003978975110240799,1.7452501725538287,0.5033333333333333
user_emg_only,0,S018,standardized_logreg_smoothed,4200,0.5002380952380953,0.06414119698141613,0.0033709184871975567,1.6823507927881942,0.49976190476190474
user_emg_only,0,S101,standardized_logreg_smoothed,4200,0.4992857142857143,0.061415031095219376,0.0008456659619450317,1.7063904682500841,0.5007142857142857
user_emg_only,0,S102,standardized_logreg_smoothed,4200,0.49333333333333335,0.08030463794586806,0.018557993730407524,1.8314114359674087,0.5066666666666667
user_emg_only,0,S104,standardized_logreg_smoothed,4200,0.5,0.0606060606060606,0.0,1.7573874182606048,0.5
user_emg_only,0,S106,standardized_logreg_smoothed,4200,0.5102380952380953,0.08573771629057106,0.02351101424648763,1.6984447768362778,0.4897619047619048
assist_prefix_only,0,S010,standardized_logreg_smoothed,4200,0.5054761904761905,0.09382119348804686,0.032854670351032886,1.669511921371139,0.49452380952380953
assist_prefix_only,0,S011,standardized_logreg_smoothed,4200,0.5092857142857142,0.11304407377274361,0.05388283450359297,1.7593084273453619,0.4907142857142857
assist_prefix_only,0,S014,standardized_logreg_smoothed,4200,0.5007142857142857,0.0631911967449585,0.002536997885835095,1.7043407980545409,0.4992857142857143
assist_prefix_only,0,S017,standardized_logreg_smoothed,4200,0.4957142857142857,0.06455075502368962,0.004252698849330072,1.7202894059282603,0.5042857142857143
assist_prefix_only,0,S018,standardized_logreg_smoothed,4200,0.5009523809523809,0.07078744408615545,0.010098402776257587,1.673919881455441,0.4990476190476191
assist_prefix_only,0,S101,standardized_logreg_smoothed,4200,0.49976190476190474,0.06058681753236444,0.0,1.7305366749457336,0.5002380952380953
assist_prefix_only,0,S102,standardized_logreg_smoothed,4200,0.4897619047619048,0.07611155384971524,0.01813863096523429,1.8342096694867644,0.5102380952380953
