audit,split,fold_id,condition,policy,accuracy,balanced_accuracy,macro_f1,active_macro_f1,risk_coverage_auc,mean_cdc,expected_cdc,mean_cdc_all,candidate_cdc_all,intervention_rate,changed_vs_user_rate,n_test,tau,threshold,budget_type,budget,dev_budget_value,test_budget_value,test_budget_gap
context_degradation,amputee_loso,0,clean,UserOnly,0.41595238095238096,0.14887445887445885,0.12601197412773024,0.06738259423524516,0.6246895781579684,0.0,0.0,0.0,0.008933979834741701,0.0,0.0,4200,,,,,,,
context_degradation,amputee_loso,0,clean,AssistOnly,0.6254761904761905,0.7986580086580086,0.642616578779302,0.7646442579559711,0.21317785364742778,0.011711209521196989,0.008933979834741701,0.008933979834741701,0.008933979834741701,0.7628571428571429,0.7628571428571429,4200,,,,,,,
context_degradation,amputee_loso,0,clean,CD-margin tau=0.00,0.41595238095238096,0.14887445887445885,0.12601197412773024,0.06738259423524516,0.6246895781579684,0.0,0.0,0.0,0.008933979834741701,0.0,0.0,4200,0.0,,,,,,
context_degradation,amputee_loso,0,clean,CD-margin tau=0.01,0.5295238095238095,0.44147186147186146,0.4013106436180749,0.40351982341296044,0.4008164142973615,0.00569128981256352,0.001977045675364327,0.001977045675364327,0.008933979834741701,0.3473809523809524,0.3473809523809524,4200,0.01,,,,,,
context_degradation,amputee_loso,0,clean,CD-margin tau=0.02,0.5966666666666667,0.7221212121212122,0.5894821974453305,0.6857411495184238,0.31555836108413915,0.00987886986739351,0.006651772377378296,0.006651772377378296,0.008933979834741701,0.6733333333333333,0.6733333333333333,4200,0.02,,,,,,
context_degradation,amputee_loso,0,clean,CD-margin tau=0.05,0.625,0.7977922077922077,0.6417993183493017,0.7635283799274323,0.2938108006091122,0.011670799388280535,0.008894816390925238,0.008894816390925238,0.008933979834741701,0.7621428571428571,0.7621428571428571,4200,0.05,,,,,,
context_degradation,amputee_loso,0,clean,CD-margin tau=0.10,0.6254761904761905,0.7986580086580086,0.642616578779302,0.7646442579559711,0.29385343136397724,0.011711209521196989,0.008933979834741701,0.008933979834741701,0.008933979834741701,0.7628571428571429,0.7628571428571429,4200,0.1,,,,,,
context_degradation,amputee_loso,0,clean,CD-margin tau=0.20,0.6254761904761905,0.7986580086580086,0.642616578779302,0.7646442579559711,0.29385343136397724,0.011711209521196989,0.008933979834741701,0.008933979834741701,0.008933979834741701,0.7628571428571429,0.7628571428571429,4200,0.2,,,,,,
context_degradation,amputee_loso,0,clean,CD-margin tau=0.50,0.6254761904761905,0.7986580086580086,0.642616578779302,0.7646442579559711,0.29385343136397724,0.011711209521196989,0.008933979834741701,0.008933979834741701,0.008933979834741701,0.7628571428571429,0.7628571428571429,4200,0.5,,,,,,
context_degradation,amputee_loso,0,clean,CD-margin tau=1.00,0.6254761904761905,0.7986580086580086,0.642616578779302,0.7646442579559711,0.29385343136397724,0.011711209521196989,0.008933979834741701,0.008933979834741701,0.008933979834741701,0.7628571428571429,0.7628571428571429,4200,1.0,,,,,,
context_degradation,amputee_loso,0,uniform_mix_lambda=0.10,AssistOnly,0.6254761904761905,0.7986580086580086,0.642616578779302,0.7646442579559711,0.21317785364742778,0.011711209521196989,0.008933979834741701,0.008933979834741701,0.008933979834741701,0.7628571428571429,0.7628571428571429,4200,,,,,,,
context_degradation,amputee_loso,0,uniform_mix_lambda=0.10,CD-margin tau=0.00,0.41595238095238096,0.14887445887445885,0.12601197412773024,0.06738259423524516,0.6246895781579684,0.0,0.0,0.0,0.008933979834741701,0.0,0.0,4200,0.0,,,,,,
context_degradation,amputee_loso,0,uniform_mix_lambda=0.10,CD-margin tau=0.01,0.5295238095238095,0.44147186147186146,0.4013106436180749,0.40351982341296044,0.4008164142973615,0.00569128981256352,0.001977045675364327,0.001977045675364327,0.008933979834741701,0.3473809523809524,0.3473809523809524,4200,0.01,,,,,,
context_degradation,amputee_loso,0,uniform_mix_lambda=0.10,CD-margin tau=0.02,0.5966666666666667,0.7221212121212122,0.5894821974453305,0.6857411495184238,0.31555836108413915,0.00987886986739351,0.006651772377378296,0.006651772377378296,0.008933979834741701,0.6733333333333333,0.6733333333333333,4200,0.02,,,,,,
context_degradation,amputee_loso,0,uniform_mix_lambda=0.10,CD-margin tau=0.05,0.625,0.7977922077922077,0.6417993183493017,0.7635283799274323,0.2938108006091122,0.011670799388280535,0.008894816390925238,0.008894816390925238,0.008933979834741701,0.7621428571428571,0.7621428571428571,4200,0.05,,,,,,
