audit,split,model,n_folds,accuracy_mean,accuracy_ci_low,accuracy_ci_high,balanced_accuracy_mean,balanced_accuracy_ci_low,balanced_accuracy_ci_high,macro_f1_mean,macro_f1_ci_low,macro_f1_ci_high,active_macro_f1_mean,active_macro_f1_ci_low,active_macro_f1_ci_high,nll_mean,nll_ci_low,nll_ci_high,ece_mean,ece_ci_low,ece_ci_high,brier_mean,brier_ci_low,brier_ci_high
context_prior_or_assist_ablation,able_to_amputee,assist_full_extra_trees,1,0.6649047619047619,0.6649047619047619,0.6649047619047619,0.5944761904761905,0.5944761904761905,0.5944761904761905,0.6121004394430598,0.6121004394430598,0.6121004394430598,0.6302371433013847,0.6302371433013847,0.6302371433013847,0.7933472159498703,0.7933472159498703,0.7933472159498703,0.07897388017789736,0.07897388017789736,0.07897388017789736,0.4581353683796519,0.4581353683796519,0.4581353683796519
context_prior_or_assist_ablation,able_to_amputee,assist_prefix_extra_trees,1,0.4835238095238095,0.4835238095238095,0.4835238095238095,0.11682251082251081,0.11682251082251081,0.11682251082251081,0.10389070023554049,0.10389070023554049,0.10389070023554049,0.04538162866072723,0.04538162866072723,0.04538162866072723,1.9173848686482518,1.9173848686482518,1.9173848686482518,0.16928102735433295,0.16928102735433295,0.16928102735433295,0.7493113978907794,0.7493113978907794,0.7493113978907794
context_prior_or_assist_ablation,able_to_amputee,assist_tail_extra_trees,1,0.593,0.593,0.593,0.7282597402597403,0.7282597402597403,0.7282597402597403,0.6102917948029963,0.6102917948029963,0.6102917948029963,0.7305443758024123,0.7305443758024123,0.7305443758024123,0.8422777830429715,0.8422777830429715,0.8422777830429715,0.02990979025065117,0.02990979025065117,0.02990979025065117,0.5058791570241198,0.5058791570241198,0.5058791570241198
context_prior_or_assist_ablation,able_to_amputee,metadata_extra_trees,1,0.4187777777777778,0.4187777777777778,0.4187777777777778,0.7507647907647907,0.7507647907647907,0.7507647907647907,0.5044035382839357,0.5044035382839357,0.5044035382839357,0.7477170914938924,0.7477170914938924,0.7477170914938924,1.3717665709560976,1.3717665709560976,1.3717665709560976,0.33534499891159764,0.33534499891159764,0.33534499891159764,0.8410588391858004,0.8410588391858004,0.8410588391858004
context_prior_or_assist_ablation,able_to_amputee,metadata_logreg,1,0.41479365079365077,0.41479365079365077,0.41479365079365077,0.7541702741702743,0.7541702741702743,0.7541702741702743,0.4987944838013147,0.4987944838013147,0.4987944838013147,0.8230444544880783,0.8230444544880783,0.8230444544880783,1.3809466423426764,1.3809466423426764,1.3809466423426764,0.3441683765712638,0.3441683765712638,0.3441683765712638,0.8469484567629033,0.8469484567629033,0.8469484567629033
context_prior_or_assist_ablation,able_to_amputee,object_only_prior_active_conditional,1,0.3357142857142857,0.3357142857142857,0.3357142857142857,0.6103896103896104,0.6103896103896104,0.6103896103896104,0.4076623691363823,0.4076623691363823,0.4076623691363823,0.6630997489594874,0.6630997489594874,0.6630997489594874,14.087665443337004,14.087665443337004,14.087665443337004,0.33345089446420406,0.33345089446420406,0.33345089446420406,0.9978862567956902,0.9978862567956902,0.9978862567956902
context_prior_or_assist_ablation,able_to_amputee,object_only_prior_allclass,1,0.5,0.5,0.5,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.0606060606060606,0.0606060606060606,0.0606060606060606,0.0,0.0,0.0,0.9653034777771963,0.9653034777771963,0.9653034777771963,0.0008018418225713142,0.0008018418225713142,0.0008018418225713142,0.5931333442975263,0.5931333442975263,0.5931333442975263
context_prior_or_assist_ablation,able_to_amputee,object_prior_active_conditional,1,0.4142857142857143,0.4142857142857143,0.4142857142857143,0.7532467532467532,0.7532467532467532,0.7532467532467532,0.4932918536135152,0.4932918536135152,0.4932918536135152,0.8147809364880704,0.8147809364880704,0.8147809364880704,13.95289036627394,13.95289036627394,13.95289036627394,0.4105253397796907,0.4105253397796907,0.4105253397796907,0.9963311593020289,0.9963311593020289,0.9963311593020289
context_prior_or_assist_ablation,able_to_amputee,object_prior_allclass,1,0.5,0.5,0.5,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.0606060606060606,0.0606060606060606,0.0606060606060606,0.0,0.0,0.0,0.8305295935990334,0.8305295935990334,0.8305295935990334,0.0010682343435415853,0.0010682343435415853,0.0010682343435415853,0.5483547021905433,0.5483547021905433,0.5483547021905433
context_prior_or_assist_ablation,all_subject_kfold,assist_full_extra_trees,5,0.7408095238095238,0.7100031582121855,0.7716158894068621,0.6816623376623376,0.62637994268901,0.7369447326356653,0.6936013727435608,0.6548101855823535,0.7323925599047681,0.6887883196410833,0.6497939276265118,0.7277827116556549,0.6953698975877851,0.5677410576697725,0.8229987375057978,0.121640181575175,0.10205290496568703,0.14122745818466298,0.38630691789026045,0.34841409308064475,0.42419974269987615
