audit,split,fold_id,model,class_id,support,class_accuracy,tp,fn,fp
context_prior_or_assist_ablation,amputee_loso,0,metadata_logreg,0,2100,0.0,0,2100,0
context_prior_or_assist_ablation,amputee_loso,0,metadata_logreg,1,210,1.0,210,0,210
context_prior_or_assist_ablation,amputee_loso,0,metadata_logreg,2,210,0.9047619047619048,190,20,309
context_prior_or_assist_ablation,amputee_loso,0,metadata_logreg,3,210,1.0,210,0,210
context_prior_or_assist_ablation,amputee_loso,0,metadata_logreg,4,210,1.0,210,0,210
context_prior_or_assist_ablation,amputee_loso,0,metadata_logreg,5,210,0.5714285714285714,120,90,301
context_prior_or_assist_ablation,amputee_loso,0,metadata_logreg,6,210,0.6666666666666666,140,70,200
context_prior_or_assist_ablation,amputee_loso,0,metadata_logreg,7,210,1.0,210,0,210
context_prior_or_assist_ablation,amputee_loso,0,metadata_logreg,8,210,0.6190476190476191,130,80,230
context_prior_or_assist_ablation,amputee_loso,0,metadata_logreg,9,210,1.0,210,0,310
context_prior_or_assist_ablation,amputee_loso,0,metadata_logreg,10,210,0.5238095238095238,110,100,270
context_prior_or_assist_ablation,amputee_loso,0,assist_full_extra_trees,0,2100,0.8680952380952381,1823,277,369
context_prior_or_assist_ablation,amputee_loso,0,assist_full_extra_trees,1,210,0.9476190476190476,199,11,76
context_prior_or_assist_ablation,amputee_loso,0,assist_full_extra_trees,2,210,0.6666666666666666,140,70,36
context_prior_or_assist_ablation,amputee_loso,0,assist_full_extra_trees,3,210,0.9047619047619048,190,20,29
context_prior_or_assist_ablation,amputee_loso,0,assist_full_extra_trees,4,210,0.8,168,42,27
context_prior_or_assist_ablation,amputee_loso,0,assist_full_extra_trees,5,210,0.7476190476190476,157,53,55
context_prior_or_assist_ablation,amputee_loso,0,assist_full_extra_trees,6,210,0.6428571428571429,135,75,27
context_prior_or_assist_ablation,amputee_loso,0,assist_full_extra_trees,7,210,0.8285714285714286,174,36,23
context_prior_or_assist_ablation,amputee_loso,0,assist_full_extra_trees,8,210,0.6,126,84,63
context_prior_or_assist_ablation,amputee_loso,0,assist_full_extra_trees,9,210,0.8285714285714286,174,36,71
context_prior_or_assist_ablation,amputee_loso,0,assist_full_extra_trees,10,210,0.3476190476190476,73,137,65
context_prior_or_assist_ablation,amputee_loso,0,assist_tail_extra_trees,0,2100,0.6266666666666667,1316,784,148
context_prior_or_assist_ablation,amputee_loso,0,assist_tail_extra_trees,1,210,0.9619047619047619,202,8,116
context_prior_or_assist_ablation,amputee_loso,0,assist_tail_extra_trees,2,210,0.7666666666666667,161,49,76
context_prior_or_assist_ablation,amputee_loso,0,assist_tail_extra_trees,3,210,0.9428571428571428,198,12,52
context_prior_or_assist_ablation,amputee_loso,0,assist_tail_extra_trees,4,210,0.9809523809523809,206,4,85
context_prior_or_assist_ablation,amputee_loso,0,assist_tail_extra_trees,5,210,0.5142857142857142,108,102,110
context_prior_or_assist_ablation,amputee_loso,0,assist_tail_extra_trees,6,210,0.7333333333333333,154,56,129
context_prior_or_assist_ablation,amputee_loso,0,assist_tail_extra_trees,7,210,0.9761904761904762,205,5,75
context_prior_or_assist_ablation,amputee_loso,0,assist_tail_extra_trees,8,210,0.5476190476190477,115,95,116
context_prior_or_assist_ablation,amputee_loso,0,assist_tail_extra_trees,9,210,0.8380952380952381,176,34,101
context_prior_or_assist_ablation,amputee_loso,0,assist_tail_extra_trees,10,210,0.6238095238095238,131,79,220
context_prior_or_assist_ablation,amputee_loso,0,assist_prefix_extra_trees,0,2100,0.9323809523809524,1958,142,1016
context_prior_or_assist_ablation,amputee_loso,0,assist_prefix_extra_trees,1,210,0.023809523809523808,5,205,69
context_prior_or_assist_ablation,amputee_loso,0,assist_prefix_extra_trees,2,210,0.01904761904761905,4,206,42
context_prior_or_assist_ablation,amputee_loso,0,assist_prefix_extra_trees,3,210,0.023809523809523808,5,205,92
context_prior_or_assist_ablation,amputee_loso,0,assist_prefix_extra_trees,4,210,0.06190476190476191,13,197,102
context_prior_or_assist_ablation,amputee_loso,0,assist_prefix_extra_trees,5,210,0.08095238095238096,17,193,136
context_prior_or_assist_ablation,amputee_loso,0,assist_prefix_extra_trees,6,210,0.009523809523809525,2,208,20
