audit,split,condition,policy,n_folds,accuracy_mean,accuracy_ci_low,accuracy_ci_high,active_macro_f1_mean,active_macro_f1_ci_low,active_macro_f1_ci_high,risk_coverage_auc_mean,risk_coverage_auc_ci_low,risk_coverage_auc_ci_high,mean_cdc_mean,mean_cdc_ci_low,mean_cdc_ci_high,expected_cdc_mean,expected_cdc_ci_low,expected_cdc_ci_high,mean_cdc_all_mean,mean_cdc_all_ci_low,mean_cdc_all_ci_high,candidate_cdc_all_mean,candidate_cdc_all_ci_low,candidate_cdc_all_ci_high,intervention_rate_mean,intervention_rate_ci_low,intervention_rate_ci_high
context_degradation,able_to_amputee,clean,AssistOnly,1,0.5003174603174603,0.5003174603174603,0.5003174603174603,0.6804221706226392,0.6804221706226392,0.6804221706226392,0.5201045093105491,0.5201045093105491,0.5201045093105491,0.26573082570191836,0.26573082570191836,0.26573082570191836,0.22032038015419048,0.22032038015419048,0.22032038015419048,0.22032038015419048,0.22032038015419048,0.22032038015419048,0.22032038015419048,0.22032038015419048,0.22032038015419048,0.8291111111111111,0.8291111111111111,0.8291111111111111
context_degradation,able_to_amputee,clean,CD-margin tau=0.00,1,0.3533650793650794,0.3533650793650794,0.3533650793650794,0.08773686241198858,0.08773686241198858,0.08773686241198858,0.7448747677812746,0.7448747677812746,0.7448747677812746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22032038015419048,0.22032038015419048,0.22032038015419048,0.0,0.0,0.0
context_degradation,able_to_amputee,clean,CD-margin tau=0.01,1,0.35933333333333334,0.35933333333333334,0.35933333333333334,0.09824616404066831,0.09824616404066831,0.09824616404066831,0.7377306912620698,0.7377306912620698,0.7377306912620698,0.005166777129296437,0.005166777129296437,0.005166777129296437,5.667052375148949e-05,5.667052375148949e-05,5.667052375148949e-05,5.667052375148949e-05,5.667052375148949e-05,5.667052375148949e-05,0.22032038015419048,0.22032038015419048,0.22032038015419048,0.010968253968253969,0.010968253968253969,0.010968253968253969
context_degradation,able_to_amputee,clean,CD-margin tau=0.02,1,0.3671587301587302,0.3671587301587302,0.3671587301587302,0.11230192555380025,0.11230192555380025,0.11230192555380025,0.728417634960311,0.728417634960311,0.728417634960311,0.010335794038958556,0.010335794038958556,0.010335794038958556,0.00024051228668433715,0.00024051228668433715,0.00024051228668433715,0.00024051228668433715,0.00024051228668433715,0.00024051228668433715,0.22032038015419048,0.22032038015419048,0.22032038015419048,0.02326984126984127,0.02326984126984127,0.02326984126984127
context_degradation,able_to_amputee,clean,CD-margin tau=0.05,1,0.392031746031746,0.392031746031746,0.392031746031746,0.17079549510323938,0.17079549510323938,0.17079549510323938,0.7016932426528611,0.7016932426528611,0.7016932426528611,0.028365743279995866,0.028365743279995866,0.028365743279995866,0.0021625502376796846,0.0021625502376796846,0.0021625502376796846,0.0021625502376796846,0.0021625502376796846,0.0021625502376796846,0.22032038015419048,0.22032038015419048,0.22032038015419048,0.07623809523809524,0.07623809523809524,0.07623809523809524
context_degradation,able_to_amputee,clean,CD-margin tau=0.10,1,0.43084126984126986,0.43084126984126986,0.43084126984126986,0.32333449352693633,0.32333449352693633,0.32333449352693633,0.6639092870418014,0.6639092870418014,0.6639092870418014,0.06122357809865631,0.06122357809865631,0.06122357809865631,0.014332148092047354,0.014332148092047354,0.014332148092047354,0.014332148092047354,0.014332148092047354,0.014332148092047354,0.22032038015419048,0.22032038015419048,0.22032038015419048,0.2340952380952381,0.2340952380952381,0.2340952380952381
context_degradation,able_to_amputee,clean,CD-margin tau=0.20,1,0.43284126984126986,0.43284126984126986,0.43284126984126986,0.5391539948707457,0.5391539948707457,0.5391539948707457,0.6373073356963593,0.6373073356963593,0.6373073356963593,0.10904542343392191,0.10904542343392191,0.10904542343392191,0.060402510183707514,0.060402510183707514,0.060402510183707514,0.060402510183707514,0.060402510183707514,0.060402510183707514,0.22032038015419048,0.22032038015419048,0.22032038015419048,0.5539206349206349,0.5539206349206349,0.5539206349206349
context_degradation,able_to_amputee,clean,CD-margin tau=0.50,1,0.47493650793650793,0.47493650793650793,0.47493650793650793,0.6479760174171567,0.6479760174171567,0.6479760174171567,0.6041962833511277,0.6041962833511277,0.6041962833511277,0.1464343807254406,0.1464343807254406,0.1464343807254406,0.10202524932638873,0.10202524932638873,0.10202524932638873,0.10202524932638873,0.10202524932638873,0.10202524932638873,0.22032038015419048,0.22032038015419048,0.22032038015419048,0.6967301587301588,0.6967301587301588,0.6967301587301588
context_degradation,able_to_amputee,clean,CD-margin tau=1.00,1,0.5003174603174603,0.5003174603174603,0.5003174603174603,0.6804221706226392,0.6804221706226392,0.6804221706226392,0.5637598791037042,0.5637598791037042,0.5637598791037042,0.26573082570191836,0.26573082570191836,0.26573082570191836,0.22032038015419048,0.22032038015419048,0.22032038015419048,0.22032038015419048,0.22032038015419048,0.22032038015419048,0.22032038015419048,0.22032038015419048,0.22032038015419048,0.8291111111111111,0.8291111111111111,0.8291111111111111
context_degradation,able_to_amputee,clean,UserOnly,1,0.3533650793650794,0.3533650793650794,0.3533650793650794,0.08773686241198858,0.08773686241198858,0.08773686241198858,0.7448745346068995,0.7448745346068995,0.7448745346068995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22032038015419048,0.22032038015419048,0.22032038015419048,0.0,0.0,0.0
