audit,split,fold_id,condition,policy,tau,accuracy,balanced_accuracy,macro_f1,active_macro_f1,risk_coverage_auc,mean_cdc,expected_cdc,mean_cdc_all,candidate_cdc_all,intervention_rate,changed_vs_user_rate,n_test,threshold,budget_type,budget,dev_budget_value,test_budget_value,test_budget_gap,pareto
context_degradation,able_to_amputee,0,clean,CD-margin tau=0.00,0.0,0.3533650793650794,0.14305339105339107,0.12939858973761237,0.08773686241198858,0.7448747677812746,0.0,0.0,0.0,0.22032038015419048,0.0,0.0,63000,,,,,,,True
context_degradation,able_to_amputee,0,clean,CD-margin tau=0.01,0.01,0.35933333333333334,0.15172294372294373,0.13852194810021567,0.09824616404066831,0.7377306912620698,0.005166777129296437,5.667052375148949e-05,5.667052375148949e-05,0.22032038015419048,0.010968253968253969,0.010968253968253969,63000,,,,,,,True
context_degradation,able_to_amputee,0,clean,CD-margin tau=0.02,0.02,0.3671587301587302,0.16314574314574315,0.1509229995345334,0.11230192555380025,0.728417634960311,0.010335794038958556,0.00024051228668433715,0.00024051228668433715,0.22032038015419048,0.02326984126984127,0.02326984126984127,63000,,,,,,,True
context_degradation,able_to_amputee,0,clean,CD-margin tau=0.05,0.05,0.392031746031746,0.21078499278499277,0.20029746406462018,0.17079549510323938,0.7016932426528611,0.028365743279995866,0.0021625502376796846,0.0021625502376796846,0.22032038015419048,0.07623809523809524,0.07623809523809524,63000,,,,,,,True
context_degradation,able_to_amputee,0,clean,CD-margin tau=0.10,0.1,0.43084126984126986,0.337010101010101,0.3178342950072641,0.32333449352693633,0.6639092870418014,0.06122357809865631,0.014332148092047354,0.014332148092047354,0.22032038015419048,0.2340952380952381,0.2340952380952381,63000,,,,,,,True
context_degradation,able_to_amputee,0,clean,CD-margin tau=0.20,0.2,0.43284126984126986,0.5394256854256853,0.44036624916586986,0.5391539948707457,0.6373073356963593,0.10904542343392191,0.060402510183707514,0.060402510183707514,0.22032038015419048,0.5539206349206349,0.5539206349206349,63000,,,,,,,True
context_degradation,able_to_amputee,0,clean,CD-margin tau=0.50,0.5,0.47493650793650793,0.6490274170274171,0.5127376511219516,0.6479760174171567,0.6041962833511277,0.1464343807254406,0.10202524932638873,0.10202524932638873,0.22032038015419048,0.6967301587301588,0.6967301587301588,63000,,,,,,,True
context_degradation,able_to_amputee,0,clean,CD-margin tau=1.00,1.0,0.5003174603174603,0.6887849927849928,0.5368243156619404,0.6804221706226392,0.5637598791037042,0.26573082570191836,0.22032038015419048,0.22032038015419048,0.22032038015419048,0.8291111111111111,0.8291111111111111,63000,,,,,,,True
prospective_threshold,able_to_amputee,0,clean,ConfGate dev cdc<=0.05,,0.5124285714285715,0.5220519480519481,0.4468199942221139,0.49503439780993985,0.5515226430826404,0.34767645015977444,0.1579499631749667,0.1579499631749667,0.22032038015419048,0.4543015873015873,0.4543015873015873,63000,0.6133858826508153,cdc,0.05,0.04876666352248713,0.1579499631749667,0.1079499631749667,True
prospective_threshold,able_to_amputee,0,clean,ConfGate dev intervention<=0.10,,0.42603174603174604,0.271018759018759,0.2584391346290167,0.23913161234241437,0.6282857326327548,0.6026383308558761,0.10918276045061856,0.10918276045061856,0.22032038015419048,0.18117460317460318,0.18117460317460318,63000,0.826596843371615,intervention,0.1,0.0926984126984127,0.18117460317460318,0.08117460317460318,True
prospective_threshold,able_to_amputee,0,clean,ConfGate dev intervention<=0.25,,0.4905079365079365,0.4233131313131313,0.3836733997923727,0.3984050410297121,0.5641848692421003,0.41795729115286145,0.1357565087120794,0.1357565087120794,0.22032038015419048,0.3248095238095238,0.3248095238095238,63000,0.7009335331377052,intervention,0.25,0.24956349206349207,0.3248095238095238,0.07480952380952383,True
context_degradation,all_subject_kfold,0,clean,CD-margin tau=0.00,0.0,0.3218783068783069,0.1618566618566619,0.1536577241670505,0.12376155031693593,0.7479192116830098,0.0,0.0,0.0,0.0502006208285346,0.0,0.0,37800,,,,,,,True
context_degradation,all_subject_kfold,0,clean,CD-margin tau=0.01,0.01,0.4461904761904762,0.5823376623376624,0.4722928052204727,0.5874168090242962,0.5431123213709601,0.005086048925077497,0.0028160295754747866,0.0028160295754747866,0.0502006208285346,0.5536772486772487,0.5536772486772487,37800,,,,,,,True
context_degradation,all_subject_kfold,0,clean,CD-margin tau=0.02,0.02,0.4652910052910053,0.6811351611351611,0.5215733642355516,0.6801982622246577,0.5154347886445344,0.006739186520484201,0.004711903718250712,0.004711903718250712,0.0502006208285346,0.6991798941798942,0.6991798941798942,37800,,,,,,,True
context_degradation,all_subject_kfold,0,clean,CD-margin tau=0.05,0.05,0.4809259259259259,0.7057527657527658,0.5406093168915882,0.7043855147902843,0.5024980337494153,0.007566129393976863,0.0054976537019832935,0.0054976537019832935,0.0502006208285346,0.7266137566137566,0.7266137566137566,37800,,,,,,,True
context_degradation,all_subject_kfold,0,clean,CD-margin tau=0.10,0.1,0.4840740740740741,0.7093121693121692,0.5439262191361467,0.7078483322983847,0.5006960866809584,0.007888653903489357,0.005765186880526283,0.005765186880526283,0.0502006208285346,0.7308201058201058,0.7308201058201058,37800,,,,,,,True
context_degradation,all_subject_kfold,0,clean,CD-margin tau=0.20,0.2,0.4843650793650794,0.7096248196248195,0.5442075459135055,0.7081138015422538,0.5009187108684575,0.007978812402773006,0.005835298118377242,0.005835298118377242,0.0502006208285346,0.7313492063492063,0.7313492063492063,37800,,,,,,,True
context_degradation,all_subject_kfold,0,clean,CD-margin tau=0.50,0.5,0.4843915343915344,0.7096729196729197,0.5442430064924093,0.7081624975407631,0.5009826245409167,0.008004474271008373,0.005854489422501811,0.005854489422501811,0.0502006208285346,0.7314021164021164,0.7314021164021164,37800,,,,,,,True
prospective_threshold,all_subject_kfold,0,clean,ConfGate dev intervention<=0.10,,0.3689153439153439,0.21742183742183743,0.20565501205173156,0.1827515330928006,0.6217971886831726,0.40424010244299635,0.044733765833837404,0.044733765833837404,0.0502006208285346,0.11066137566137565,0.11066137566137565,37800,0.6632068344861889,intervention,0.1,0.09384353741496598,0.11066137566137565,0.01066137566137565,True
prospective_threshold,all_subject_kfold,0,clean,ConfGate dev intervention<=0.25,,0.44685185185185183,0.378085618085618,0.3353964271411166,0.3474802938765371,0.5265657173638142,0.1919757695430077,0.045703437833797,0.045703437833797,0.0502006208285346,0.23806878306878307,0.23806878306878307,37800,0.5556619465466139,intervention,0.25,0.23068027210884354,0.23806878306878307,-0.011931216931216931,True
context_degradation,all_subject_kfold,1,clean,CD-margin tau=0.00,0.0,0.32592592592592595,0.1699086099086099,0.15815235940701433,0.1316279783967683,0.7011633348460753,0.0,0.0,0.0,0.10087706079950383,0.0,0.0,37800,,,,,,,True
context_degradation,all_subject_kfold,1,clean,CD-margin tau=0.01,0.01,0.3454761904761905,0.1989177489177489,0.18451839573938142,0.16316572068315113,0.6629734969075974,0.00504765664576061,0.00017226129822833823,0.00017226129822833823,0.10087706079950383,0.034126984126984124,0.034126984126984124,37800,,,,,,,True
