split,fold_id,calibration,branch,accuracy,balanced_accuracy,macro_f1,active_macro_f1,nll,ece,brier,temperature_user,temperature_assist,dirichlet_user_method,dirichlet_assist_method
amputee_loso,0,none,user,0.41595238095238096,0.14887445887445885,0.12601197412773024,0.06738259423524516,2.195458289540201,0.23062648565650576,0.8501476048544441,,,,
amputee_loso,0,none,assist,0.6254761904761905,0.7986580086580086,0.642616578779302,0.7646442579559711,0.8702374461329884,0.16093852956169516,0.5021664224503329,,,,
amputee_loso,0,scalar_temperature,user,0.41595238095238096,0.14887445887445885,0.12601197412773024,0.06738259423524516,2.349607866144578,0.3126082721452433,0.8998678693057856,6.94378757912419,2.6764256372201785,,
amputee_loso,0,scalar_temperature,assist,0.6254761904761905,0.7986580086580086,0.642616578779302,0.7646442579559711,0.7780045593050401,0.03022324731680378,0.4537809405759485,6.94378757912419,2.6764256372201785,,
amputee_loso,0,dirichlet_logreg,user,0.5,0.09363636363636364,0.0664588282438576,0.005546430725350699,1.7467330541607284,0.13686931163285904,0.6709585406975123,,,dirichlet_logreg,dirichlet_logreg
amputee_loso,0,dirichlet_logreg,assist,0.7297619047619047,0.6017748917748919,0.6440488478952638,0.6134887160833323,0.5776214008549627,0.04177211047749473,0.34971414528796424,,,dirichlet_logreg,dirichlet_logreg
amputee_loso,1,none,user,0.3530952380952381,0.12341991341991342,0.10040979300828944,0.05339883435020359,2.7917581758998944,0.27752201660740905,0.9220584456210006,,,,
amputee_loso,1,none,assist,0.5523809523809524,0.7526406926406927,0.5872389320933787,0.7381664766395327,1.27005052810717,0.26156399376178197,0.6537813994850109,,,,
amputee_loso,1,scalar_temperature,user,0.3530952380952381,0.12341991341991342,0.10040979300828944,0.05339883435020359,2.383937644878411,0.2525327322115778,0.9059584317322655,9.999614482288447,9.999549094233977,,
amputee_loso,1,scalar_temperature,assist,0.5523809523809524,0.7526406926406927,0.5872389320933787,0.7381664766395327,1.5249576404145613,0.3052613119954298,0.6882577816776363,9.999614482288447,9.999549094233977,,
